project	taxid	date	study_type
PRJEB28297	9606	2018-08	EVA study
PRJEB28302	4072	2018-08	EVA study
PRJEB28306	9796	2018-08	EVA study
PRJEB28344	10090	2018-08	EVA study
PRJEB28526	39947	2018-09	EVA study
PRJEB28530	5833	2018-09	EVA study
PRJEB28547	9606	2018-09	EVA study
PRJEB28557	9031	2018-09	EVA study
PRJEB28579	9823	2018-09	EVA study
PRJEB28591	3641	2018-09	EVA study
PRJEB28606	4265	2018-09	EVA study
PRJEB28702	9606	2018-09	EVA study
PRJEB28797	72036	2018-09	EVA study
PRJEB28835	391902	2018-09	EVA study
PRJEB28956	57486	2018-10	EVA study
PRJEB29080	46259	2018-10	EVA study
PRJEB29251	30523	2018-10	EVA study
PRJEB29344	9606	2018-10	EVA study
PRJEB29384	9940	2018-10	EVA study
PRJEB29523	9606	2018-11	EVA study
PRJEB29561	4565	2018-11	EVA study
PRJEB29597	9606	2018-11	EVA study
PRJEB29734	9913	2018-11	EVA study
PRJEB29974	9913	2018-11	EVA study
PRJEB29975	9823	2018-11	EVA study
PRJEB30080	9685	2018-12	EVA study
PRJEB30116	9796	2018-12	EVA study
PRJEB30122	9925	2018-12	EVA study
PRJEB30318	9685	2018-12	EVA study
PRJEB30460	9606	2018-12	EVA study
PRJEB30500	4565	2018-12	EVA study
PRJEB30506	8307	2018-12	EVA study
PRJEB30522	9915	2018-12	EVA study
PRJEB30825	415978	2019-01	EVA study
PRJEB30850	9615	2019-01	EVA study
PRJEB31123	9913	2019-02	EVA study
PRJEB31129	30538	2019-02	EVA study
PRJEB31170	9615	2019-02	EVA study
PRJEB31182	4565	2019-02	EVA study
PRJEB31218	4565	2019-02	EVA study
PRJEB31241	9940	2019-02	EVA study
PRJEB31315	9606	2019-02	EVA study
PRJEB31336	9940	2019-02	EVA study
PRJEB31370	9606	2019-02	EVA study
PRJEB31423	9796	2019-02	EVA study
PRJEB31574	9915	2019-03	EVA study
PRJEB31735	9606	2019-03	EVA study
PRJEB31785	9913	2019-03	EVA study
PRJEB31976	9615	2019-04	EVA study
PRJEB32049	9915	2019-04	EVA study
PRJEB32114	9606	2019-04	EVA study
PRJEB32182	9606	2019-04	EVA study
PRJEB32264	9606	2019-04	EVA study
PRJEB32310	9940	2019-04	EVA study
PRJEB32312	9925	2019-04	EVA study
PRJEB32462	9940	2019-05	EVA study
PRJEB32685	3847	2019-05	EVA study
PRJEB32686	9796	2019-05	EVA study
PRJEB32687	9615	2019-05	EVA study
PRJEB32689	9606	2019-05	EVA study
PRJEB32692	9925	2019-05	EVA study
PRJEB32735	4530	2019-05	EVA study
PRJEB32744	34506	2019-05	EVA study
PRJEB32845	9606	2019-05	EVA study
PRJEB32865	9615	2019-06	EVA study
PRJEB32975	30523	2019-06	EVA study
PRJEB33023	9913	2019-06	EVA study
PRJEB33060	9823	2019-06	EVA study
PRJEB33063	3885	2019-06	EVA study
PRJEB33073	9913	2019-06	EVA study
PRJEB33081	9913	2019-06	EVA study
PRJEB33094	3885	2019-06	EVA study
PRJEB33110	10116	2019-06	EVA study
PRJEB33111	9940	2019-06	EVA study
PRJEB33113	30521	2019-06	EVA study
PRJEB33136	9606	2019-06	EVA study
PRJEB33142	7070	2019-06	EVA study
PRJEB33252	9031	2019-06	EVA study
PRJEB33276	9606	2019-07	EVA study
PRJEB33472	4558	2019-07	EVA study
PRJEB33514	7425	2019-07	EVA study
PRJEB33648	9606	2019-07	EVA study
PRJEB33693	9940	2019-07	EVA study
PRJEB33704	2020318	2019-07	EVA study
PRJEB33712	9606	2019-07	EVA study
PRJEB33757	9796	2019-07	EVA study
PRJEB33864	9915	2019-08	EVA study
PRJEB33934	9925	2019-08	EVA study
PRJEB33969	9606	2019-08	EVA study
PRJEB34019	9940	2019-08	EVA study
PRJEB34082	72761	2019-08	EVA study
PRJEB34193	8128	2019-08	EVA study
PRJEB34208	10116	2019-08	EVA study
PRJEB34225	8030	2019-09	EVA study
PRJEB34274	869827	2019-09	EVA study
PRJEB34293	9940	2019-09	EVA study
PRJEB34294	52644	2019-09	EVA study
PRJEB34334	9606	2019-09	EVA study
PRJEB34362	9796	2019-09	EVA study
PRJEB34412	9823	2019-09	EVA study
PRJEB34415	5833	2019-09	EVA study
PRJEB34546	3847	2019-09	EVA study
PRJEB34548	9615	2019-09	EVA study
PRJEB34654	9606	2019-09	EVA study
PRJEB34751	9913	2019-10	EVA study
PRJEB34846	8839	2019-10	EVA study
PRJEB35134	9615	2019-10	EVA study
PRJEB35159	9606	2019-10	EVA study
PRJEB35221	30521	2019-11	EVA study
PRJEB35282	9796	2019-11	EVA study
PRJEB35317	5833	2019-11	EVA study
PRJEB35319	39946	2019-11	EVA study
PRJEB35335	169963	2019-11	EVA study
PRJEB35532	3847	2019-11	EVA study
PRJEB35668	9913	2019-12	EVA study
PRJEB35772	9606	2019-12	EVA study
PRJEB35784	9925	2019-12	EVA study
PRJEB35786	9606	2019-12	EVA study
PRJEB36033	9606	2020-01	EVA study
PRJEB36043	319058	2020-01	EVA study
PRJEB36082	9606	2020-01	EVA study
PRJEB36115	9031	2020-01	EVA study
PRJEB36125	4565	2020-01	EVA study
PRJEB36127	4565	2020-01	EVA study
PRJEB36187	9606	2020-01	EVA study
PRJEB36238	9606	2020-01	EVA study
PRJEB36264	9606	2020-01	EVA study
PRJEB36318	4565	2020-01	EVA study
PRJEB36719	198094	2020-02	EVA study
PRJEB36724	84645	2020-02	EVA study
PRJEB36753	9606	2020-02	EVA study
PRJEB36773	4565	2020-02	EVA study
PRJEB36774	9913	2020-02	EVA study
PRJEB36777	9615	2020-02	EVA study
PRJEB36778	51240	2020-02	EVA study
PRJEB36811	9606	2020-02	EVA study
PRJEB36864	9031	2020-02	EVA study
PRJEB36886	9606	2020-02	EVA study
PRJEB36912	334908	2020-02	EVA study
PRJEB37197	4565	2020-03	EVA study
PRJEB37244	8845	2020-03	EVA study
PRJEB37582	8845	2020-04	EVA study
PRJEB37584	9606	2020-04	EVA study
PRJEB37588	7955	2020-04	EVA study
PRJEB37607	9606	2020-04	EVA study
PRJEB37674	9606	2020-04	EVA study
PRJEB37766	9606	2020-04	EVA study
PRJEB37881	9913	2020-04	EVA study
PRJEB37915	9615	2020-04	EVA study
PRJEB38010	9796	2020-04	EVA study
PRJEB38030	4565	2020-04	EVA study
PRJEB38067	4441	2020-04	EVA study
PRJEB38336	9913	2020-05	EVA study
PRJEB38379	10090	2020-05	EVA study
PRJEB38538	9913	2020-05	EVA study
PRJEB38548	8128	2020-05	EVA study
PRJEB38691	9940	2020-06	EVA study
PRJEB38763	10116	2020-06	EVA study
PRJEB38764	8128	2020-06	EVA study
PRJEB38975	3702	2020-06	EVA study
PRJEB39090	1770	2020-06	EVA study
PRJEB39251	9606	2020-07	EVA study
PRJEB39381	3654	2020-07	EVA study
PRJEB39400	1679538	2020-07	EVA study
PRJEB39409	9606	2020-07	EVA study
PRJEB39468	208526	2020-07	EVA study
PRJEB39475	9598	2020-07	EVA study
PRJEB39574	9606	2020-07	EVA study
PRJEB39630	9606	2020-07	EVA study
PRJEB39694	9606	2020-08	EVA study
PRJEB39892	10090	2020-08	EVA study
PRJEB39939	9606	2020-08	EVA study
PRJEB40010	9606	2020-08	EVA study
PRJEB40043	9913	2020-08	EVA study
PRJEB40092	9031	2020-08	EVA study
PRJEB40124	4577	2020-09	EVA study
PRJEB40369	4236	2020-09	EVA study
PRJEB40448	9606	2020-09	EVA study
PRJEB40501	43346	2020-09	EVA study
PRJEB40575	13749	2020-09	EVA study
PRJEB40605	9913	2020-10	EVA study
PRJEB40684	9606	2020-10	EVA study
PRJEB40694	9606	2020-10	EVA study
PRJEB40723	9606	2020-10	EVA study
PRJEB40782	9606	2020-10	EVA study
PRJEB40856	9823	2020-10	EVA study
PRJEB40970	4558	2020-10	EVA study
PRJEB40997	8296	2020-10	EVA study
PRJEB41070	9606	2020-11	EVA study
PRJEB41091	9606	2020-11	EVA study
PRJEB41095	6131	2020-11	EVA study
PRJEB41117	9615	2020-11	EVA study
PRJEB41164	4565	2020-11	EVA study
PRJEB41290	9606	2020-11	EVA study
PRJEB41333	10042	2020-11	EVA study
PRJEB41335	4577	2020-11	EVA study
PRJEB41367	9606	2020-11	EVA study
PRJEB41532	9606	2020-11	EVA study
PRJEB41629	9606	2020-12	EVA study
PRJEB41688	9606	2020-12	EVA study
PRJEB41691	9606	2020-12	EVA study
PRJEB41714	10090	2020-12	EVA study
PRJEB41769	8022	2020-12	EVA study
PRJEB41774	8022	2020-12	EVA study
PRJEB41871	9606	2020-12	EVA study
PRJEB41931	4232	2020-12	EVA study
PRJEB41991	9615	2020-12	EVA study
PRJEB42012	10116	2020-12	EVA study
PRJEB42044	9606	2020-12	EVA study
PRJEB42077	9925	2020-12	EVA study
PRJEB42148	30538	2020-12	EVA study
PRJEB42246	9925	2020-12	EVA study
PRJEB42374	8845	2021-01	EVA study
PRJEB42376	283035	2021-01	EVA study
PRJEB42411	9606	2021-01	EVA study
PRJEB42419	3708	2021-01	EVA study
PRJEB42472	9606	2021-01	EVA study
PRJEB42486	568996	2021-01	EVA study
PRJEB42513	9913	2021-01	EVA study
PRJEB42529	9606	2021-01	EVA study
PRJEB42554	9606	2021-01	EVA study
PRJEB42581	4529	2021-01	EVA study
PRJEB42582	9940	2021-01	EVA study
PRJEB42670	9823	2021-01	EVA study
PRJEB42783	9903	2021-01	EVA study
PRJEB42835	9606	2021-02	EVA study
PRJEB43053	9606	2021-02	EVA study
PRJEB43127	9913	2021-02	EVA study
PRJEB43233	9606	2021-02	EVA study
PRJEB43243	9615	2021-02	EVA study
PRJEB43246	9823	2021-02	EVA study
PRJEB43298	10090	2021-02	EVA study
PRJEB43318	9823	2021-02	EVA study
PRJEB43394	2697049	2021-03	EVA study
PRJEB43548	3847	2021-03	EVA study
PRJEB43675	5833	2021-03	EVA study
PRJEB43696	1862899	2021-03	EVA study
PRJEB43721	9606	2021-03	EVA study
PRJEB43764	8840	2021-03	EVA study
PRJEB43837	9796	2021-03	EVA study
PRJEB44201	3702	2021-04	EVA study
PRJEB44264	9606	2021-04	EVA study
PRJEB44269	9606	2021-04	EVA study
PRJEB44301	9606	2021-04	EVA study
PRJEB44378	3316	2021-04	EVA study
PRJEB44390	9606	2021-04	EVA study
PRJEB44446	9606	2021-04	EVA study
PRJEB44478	415032	2021-04	EVA study
PRJEB44672	9986	2021-04	EVA study
PRJEB44734	9606	2021-05	EVA study
PRJEB44901	9606	2021-05	EVA study
PRJEB44918	9606	2021-05	EVA study
PRJEB44919	9031	2021-05	EVA study
PRJEB45041	9606	2021-05	EVA study
PRJEB45075	4555	2021-05	EVA study
PRJEB45235	9606	2021-05	EVA study
PRJEB45238	9606	2021-05	EVA study
PRJEB45429	10090	2021-06	EVA study
PRJEB45547	4565	2021-06	EVA study
PRJEB45554	9606	2021-06	EVA study
PRJEB45759	9606	2021-06	EVA study
PRJEB45841	9606	2021-06	EVA study
PRJEB45961	10090	2021-06	EVA study
PRJEB45988	9606	2021-06	EVA study
PRJEB46068	9606	2021-07	EVA study
PRJEB46073	4006	2021-07	EVA study
PRJEB46183	9606	2021-07	EVA study
PRJEB46209	9606	2021-07	EVA study
PRJEB46210	9031	2021-07	EVA study
PRJEB46414	9606	2021-07	EVA study
PRJEB46458	3917	2021-07	EVA study
PRJEB46486	9606	2021-07	EVA study
PRJEB46494	9031	2021-07	EVA study
PRJEB46861	9913	2021-08	EVA study
PRJEB46968	4577	2021-08	EVA study
PRJEB46983	9606	2021-08	EVA study
PRJEB47268	4932	2021-08	EVA study
PRJEB47270	391902	2021-08	EVA study
PRJEB46983	9606	2021-08	EVA study
PRJEB47268	4932	2021-08	EVA study
PRJEB47270	391902	2021-08	EVA study
PRJEB47290	9606	2021-09	EVA study
PRJEB47332	4530	2021-09	EVA study
PRJEB47529	112509	2021-09	EVA study
PRJEB47695	9606	2021-09	EVA study
PRJEB47801	9606	2021-09	EVA study
PRJEB47822	9606	2021-09	EVA study
PRJEB47290	9606	2021-09	EVA study
PRJEB47332	4530	2021-09	EVA study
PRJEB47529	112509	2021-09	EVA study
PRJEB47695	9606	2021-09	EVA study
PRJEB47801	9606	2021-09	EVA study
PRJEB47822	9606	2021-09	EVA study
PRJEB47912	9031	2021-10	EVA study
PRJEB47913	9606	2021-10	EVA study
PRJEB47918	9796	2021-10	EVA study
PRJEB47999	9913	2021-10	EVA study
PRJEB48005	10090	2021-10	EVA study
PRJEB48125	9823	2021-10	EVA study
PRJEB48128	9606	2021-10	EVA study
PRJEB48200	9606	2021-10	EVA study
PRJEB48438	3847	2021-10	EVA study
PRJEB47912	9031	2021-10	EVA study
PRJEB47913	9606	2021-10	EVA study
PRJEB47918	9796	2021-10	EVA study
PRJEB47999	9913	2021-10	EVA study
PRJEB48005	10090	2021-10	EVA study
PRJEB48125	9823	2021-10	EVA study
PRJEB48128	9606	2021-10	EVA study
PRJEB48200	9606	2021-10	EVA study
PRJEB48438	3847	2021-10	EVA study
PRJEB48592	3847	2021-11	EVA study
PRJEB48632	9606	2021-11	EVA study
PRJEB48736	8128	2021-11	EVA study
PRJEB48950	9606	2021-11	EVA study
PRJEB49103	9913	2021-11	EVA study
PRJEB49104	9615	2021-11	EVA study
PRJEB49105	9796	2021-11	EVA study
PRJEB49106	9685	2021-11	EVA study
PRJEB49107	9031	2021-11	EVA study
PRJEB49108	9940	2021-11	EVA study
PRJEB49109	9823	2021-11	EVA study
PRJEB49110	9925	2021-11	EVA study
PRJEB48592	3847	2021-11	EVA study
PRJEB48632	9606	2021-11	EVA study
PRJEB48736	8128	2021-11	EVA study
PRJEB48950	9606	2021-11	EVA study
PRJEB49103	9913	2021-11	EVA study
PRJEB49104	9615	2021-11	EVA study
PRJEB49105	9796	2021-11	EVA study
PRJEB49106	9685	2021-11	EVA study
PRJEB49107	9031	2021-11	EVA study
PRJEB49108	9940	2021-11	EVA study
PRJEB49109	9823	2021-11	EVA study
PRJEB49110	9925	2021-11	EVA study
PRJEB49193	9606	2021-12	EVA study
PRJEB49213	9606	2021-12	EVA study
PRJEB49292	9606	2021-12	EVA study
PRJEB49380	9606	2021-12	EVA study
PRJEB49407	9606	2021-12	EVA study
PRJEB49193	9606	2021-12	EVA study
PRJEB49213	9606	2021-12	EVA study
PRJEB49292	9606	2021-12	EVA study
PRJEB49380	9606	2021-12	EVA study
PRJEB49407	9606	2021-12	EVA study
PRJEB49958	3483	2022-01	EVA study
PRJEB50333	13489	2022-01	EVA study
PRJEB50475	9606	2022-01	EVA study
PRJEB50764	4232	2022-02	EVA study
PRJEB50808	9606	2022-02	EVA study
PRJEB50815	30521	2022-02	EVA study
PRJEB50888	9606	2022-02	EVA study
PRJEB50889	9606	2022-02	EVA study
PRJEB51000	9606	2022-02	EVA study
PRJEB51003	9606	2022-02	EVA study
PRJEB51008	9606	2022-02	EVA study
PRJEB51024	9615	2022-02	EVA study
PRJEB51091	9606	2022-02	EVA study
PRJEB51100	9606	2022-02	EVA study
PRJEB51117	9606	2022-02	EVA study
PRJEB51505	9606	2022-03	EVA study
PRJEB51528	4550	2022-03	EVA study
PRJEB51612	9606	2022-03	EVA study
PRJEB51718	9606	2022-03	EVA study
PRJEB51724	9902	2022-03	EVA study
PRJEB51774	9447	2022-03	EVA study
PRJEB51826	9940	2022-03	EVA study
PRJEB51851	4513	2022-03	EVA study
PRJEB51858	4577	2022-03	EVA study
PRJEB51904	9606	2022-03	EVA study
PRJEB51919	9606	2022-03	EVA study
PRJEB51961	9606	2022-03	EVA study
PRJEB51985	4558	2022-03	EVA study
PRJEB52220	9606	2022-04	EVA study
PRJEB52348	9823	2022-04	EVA study
PRJEB52445	9913	2022-04	EVA study
PRJEB52471	9606	2022-04	EVA study
PRJEB52511	9685	2022-04	EVA study
PRJEB52597	4565	2022-05	EVA study
PRJEB52611	9606	2022-05	EVA study
PRJEB52694	9606	2022-05	EVA study
PRJEB52700	9796	2022-05	EVA study
PRJEB52759	4565	2022-05	EVA study
PRJEB52893	9606	2022-05	EVA study
PRJEB53236	9606	2022-06	EVA study
PRJEB53276	10090	2022-06	EVA study
PRJEB53351	9606	2022-06	EVA study
PRJEB53442	8030	2022-06	EVA study
PRJEB53443	9915	2022-06	EVA study
PRJEB53507	9606	2022-06	EVA study
PRJEB53593	10090	2022-06	EVA study
PRJEB53725	201502	2022-06	EVA study
PRJEB53894	9606	2022-06	EVA study
PRJEB53906	10090	2022-06	EVA study
PRJEB53985	4513	2022-06	EVA study
PRJEB54072	1010633	2022-07	EVA study
PRJEB54689	3750	2022-07	EVA study
PRJEB54712	4081	2022-07	EVA study
PRJEB54721	9606	2022-07	EVA study
PRJEB54891	9606	2022-07	EVA study
PRJEB54897	9925	2022-07	EVA study
PRJEB54935	9606	2022-07	EVA study
PRJEB55008	1917	2022-07	EVA study
PRJEB55077	9606	2022-07	EVA study
PRJEB55177	9796	2022-08	EVA study
PRJEB55326	4530	2022-08	EVA study
PRJEB55345	9685	2022-08	EVA study
PRJEB55361	9915	2022-08	EVA study
PRJEB55391	9606	2022-08	EVA study
PRJEB55550	9606	2022-08	EVA study
PRJEB55561	9796	2022-08	EVA study
PRJEB55655	9606	2022-08	EVA study
PRJEB55814	9627	2022-09	EVA study
PRJEB55868	9615	2022-09	EVA study
PRJEB55993	9606	2022-09	EVA study
PRJEB56038	9606	2022-09	EVA study
PRJEB56092	9606	2022-09	EVA study
PRJEB56210	9913	2022-09	EVA study
PRJEB56211	9615	2022-09	EVA study
PRJEB56316	9606	2022-09	EVA study
PRJEB56398	9606	2022-09	EVA study
PRJEB56438	512563	2022-10	EVA study
PRJEB56443	56615	2022-10	EVA study
PRJEB56445	4565	2022-10	EVA study
PRJEB56472	4530	2022-10	EVA study
PRJEB56549	9823	2022-10	EVA study
PRJEB56751	4555	2022-10	EVA study
PRJEB56753	4565	2022-10	EVA study
PRJEB56869	3917	2022-10	EVA study
PRJEB56888	4577	2022-10	EVA study
PRJEB57400	9606	2022-11	EVA study
PRJEB57548	4513	2022-11	EVA study
PRJEB57550	9615	2022-11	EVA study
PRJEB57636	9913	2022-11	EVA study
PRJEB57696	9940	2022-11	EVA study
PRJEB57722	9606	2022-11	EVA study
PRJEB57852	9606	2022-11	EVA study
PRJEB57879	4530	2022-11	EVA study
PRJEB57993	2697049	2022-12	EVA study
PRJEB58052	3702	2022-12	EVA study
PRJEB58188	10090	2022-12	EVA study
PRJEB58559	9606	2022-12	EVA study
PRJEB58641	9606	2022-12	EVA study
PRJEB58644	9606	2022-12	EVA study
PRJEB58778	9606	2023-01	EVA study
PRJEB58829	9796	2023-01	EVA study
PRJEB58836	9940	2023-01	EVA study
PRJEB58895	9606	2023-01	EVA study
PRJEB59022	112509	2023-01	EVA study
PRJEB59193	9606	2023-01	EVA study
PRJEB59227	9606	2023-01	EVA study
PRJEB59266	72550	2023-01	EVA study
PRJEB59353	9606	2023-01	EVA study
PRJEB59363	4097	2023-01	EVA study
PRJEB59438	4513	2023-02	EVA study
PRJEB59561	3917	2023-02	EVA study
PRJEB59596	9901	2023-02	EVA study
PRJEB59909	4530	2023-02	EVA study
PRJEB59912	7460	2023-02	EVA study
PRJEB60100	9913	2023-02	EVA study
PRJEB60339	4072	2023-03	EVA study
PRJEB60368	9606	2023-03	EVA study
PRJEB60396	9606	2023-03	EVA study
PRJEB60406	4558	2023-03	EVA study
PRJEB60409	4565	2023-03	EVA study
PRJEB60441	9606	2023-03	EVA study
PRJEB60477	9606	2023-03	EVA study
PRJEB60506	3818	2023-03	EVA study
PRJEB60512	8962	2023-03	EVA study
1000_BULL_GENOMES_1000_BULL_GENOMES_RUN2	9913	2019-09	dbsnp study
BELZILE-LAB_WHOLE_GENOME_SNP_DISCOVERY	3847	2019-09	dbsnp study
UFBA_LMAB_SEQUENCING_SHEEP-2	9940	2019-09	dbsnp study
UFBA_LMAB_SEQUENCING_SHEEP-1	9940	2019-09	dbsnp study
EGGL_MNEC_23M	9796	2019-09	dbsnp study
PULS_DGAB_DOG_SNP_DISCOVERY	9615	2019-09	dbsnp study
CHICKEN_SDAU_JININGBAIRI UNINFECTED	9031	2019-09	dbsnp study
METLAB_SAFS-UQ_RICE FRAGRANCE_GBS	4530	2019-09	dbsnp study
PRJEB14878	9913	2019-09	dbsnp study
MCCOUCH-RICELAB_125GENOME_CHR1	4530	2019-09	dbsnp study
GENOMICSBALICE_NGS_RNASEQSNP_DISCOVERY	9823	2019-09	dbsnp study
TIHO_ANIMAL_BREEDING_05_24_2017	9796	2019-09	dbsnp study
GENOMICSBALICE_NGS_RNASEQSNP_DISCOVERY	9796	2019-09	dbsnp study
SACCOJ_LAB_CFGSTP1_SNP_DISCOVERY2	9615	2019-09	dbsnp study
SWHITE_USDA_WSU_2014_POLYPAY_COLUMBIA_RAMBOUILLET_SUFFOLK_317	9940	2019-09	dbsnp study
CRAG_SNP_5_BREEDS	9940	2019-09	dbsnp study
